Country,ALEXA rank,Origin,Type,Image
France,44,Laposte.fr,footer banner,footer-banner-GDPR-notice-fr-fr
France,4,yahoo.fr,pop-over banner,pop-over-banner-fr-fr
Belgium,8,Hln.be,footer banner,footer-banner-GDPR-notice-be-nl
Belgium,21,Telenet.be,footer banner,footer-banner-GDPR-notice-be-fr
Germany,16,gmx.net,footer banner,footer-banner-GDPR-notice-de-de
Germany,24,chip.de,footer banner,footer-banner-2-GDPR-notice-de-de
Netherlands,29,nu.nl,header banner,header-banner-GDPR-notice-nl-nl
Netherlands,39,nos.nl,footer banner,footer-banner-GDPR-notice-nl-nl
UK,6,Bbc.co.uk,header banner,header-banner-GDPR-notice-gb-en
UK,20,theguardian.com,footer banner,footer-banner-GDPR-notice-gb-en